Results
algorithm = MergeSort2Way, size = 0, seed = 0, time = 640 ms
algorithm = MergeSort2Way, size = 0, seed = 1, time = 670 ms
algorithm = MergeSort2Way, size = 0, seed = 2, time = 682 ms
algorithm = MergeSort2Way, size = 0, seed = 3, time = 664 ms
algorithm = MergeSort2Way, size = 0, seed = 4, time = 664 ms
algorithm = MergeSort2Way, size = 0, seed = 5, time = 674 ms
algorithm = MergeSort2Way, size = 0, seed = 6, time = 613 ms
algorithm = MergeSort2Way, size = 0, seed = 7, time = 648 ms
algorithm = MergeSort2Way, size = 0, seed = 8, time = 652 ms
algorithm = MergeSort2Way, size = 0, seed = 9, time = 618 ms
algorithm = MergeSort2Way, size = 1, seed = 0, time = 1265 ms
algorithm = MergeSort2Way, size = 1, seed = 1, time = 1303 ms
algorithm = MergeSort2Way, size = 1, seed = 2, time = 1255 ms
algorithm = MergeSort2Way, size = 1, seed = 3, time = 1282 ms
algorithm = MergeSort2Way, size = 1, seed = 4, time = 1262 ms
algorithm = MergeSort2Way, size = 1, seed = 5, time = 1335 ms
algorithm = MergeSort2Way, size = 1, seed = 6, time = 1326 ms
algorithm = MergeSort2Way, size = 1, seed = 7, time = 1325 ms
algorithm = MergeSort2Way, size = 1, seed = 8, time = 1284 ms
algorithm = MergeSort2Way, size = 1, seed = 9, time = 1249 ms
algorithm = MergeSort2Way, size = 2, seed = 0, time = 2658 ms
algorithm = MergeSort2Way, size = 2, seed = 1, time = 2624 ms
algorithm = MergeSort2Way, size = 2, seed = 2, time = 2661 ms
algorithm = MergeSort2Way, size = 2, seed = 3, time = 2789 ms
algorithm = MergeSort2Way, size = 2, seed = 4, time = 2852 ms
algorithm = MergeSort2Way, size = 2, seed = 5, time = 2886 ms
algorithm = MergeSort2Way, size = 2, seed = 6, time = 2943 ms
algorithm = MergeSort2Way, size = 2, seed = 7, time = 2850 ms
algorithm = MergeSort2Way, size = 2, seed = 8, time = 2814 ms
algorithm = MergeSort2Way, size = 2, seed = 9, time = 2765 ms
algorithm = MergeSort2Way, size = 3, seed = 0, time = 5765 ms
algorithm = MergeSort2Way, size = 3, seed = 1, time = 5739 ms
algorithm = MergeSort2Way, size = 3, seed = 2, time = 5801 ms
algorithm = MergeSort2Way, size = 3, seed = 3, time = 5943 ms
algorithm = MergeSort2Way, size = 3, seed = 4, time = 6004 ms
algorithm = MergeSort2Way, size = 3, seed = 5, time = 5938 ms
